ear_l,ear_r,ear_avg,mar,mouth_stretch,brow_l,brow_r,brow_avg,label
0.2878494377206055,0.28149452100538386,0.2846719793629947,0.05492772523942408,0.36944179900445934,0.4039930440948916,0.4050950177817431,0.40454403093831737,sad
0.2976641682627734,0.2834756957504372,0.2905699320066053,0.06495515617259984,0.36608416282384176,0.33943839623134225,0.3464735381240788,0.3429559671777105,disgust
0.3086659838033661,0.29505910444239786,0.30186254412288194,0.14237102477207064,0.5847336613640612,0.4252219588889762,0.3850547743076801,0.40513836659832814,happy
0.33443101615101284,0.3311438776148909,0.33278744688295187,0.1867889241879937,0.5336666486069025,0.569792577524934,0.5592737853318351,0.5645331814283845,fear
0.2309535960344871,0.22457691322587703,0.22776525463018205,0.06500063899008048,0.36473483375845883,0.3836175334571006,0.37991056521244565,0.38176404933477315,sad
0.4078385287903975,0.37208777753050754,0.3899631531604525,0.2854423359321052,0.5266309598211806,0.5766025452149935,0.5761938344340655,0.5763981898245295,surprised
0.38450585405110876,0.3612238280927531,0.37286484107193096,0.2953106190281084,0.51437226746041,0.562247179338969,0.5579471199622701,0.5600971496506195,surprised
0.3385560937134073,0.3306420472247612,0.3345990704690842,0.2208637737056366,0.5014012204959505,0.5387659203894357,0.5152618754780421,0.5270138979337389,fear
0.2898005152778019,0.3386473874368451,0.3142239513573235,0.058664132796657026,0.4218058262003878,0.4112969908708707,0.4413972257399895,0.4263471083054301,neutral
0.32409975578397454,0.33351488396527373,0.32880731987462414,0.17718630771546176,0.5155667093390253,0.5636400410467255,0.5455554948857307,0.5545977679662282,fear
0.24312515051860653,0.280467645517297,0.2617963980179518,0.05966469150772477,0.43402698991544897,0.3348967237297341,0.3824358750399316,0.35866629938483285,disgust
0.2696553767171345,0.23263527003716553,0.25114532337715,0.0615465290277637,0.395619917234492,0.34796013895323874,0.3598422528746293,0.353901195913934,sad
0.26008520292934495,0.2832339207914809,0.27165956186041296,0.04286068582851479,0.3858353189102274,0.3761605225937373,0.3364841327458127,0.356322327669775,angry
0.31327549866292936,0.3077437683897705,0.31050963352634997,0.1164997790658998,0.6052475934579583,0.3831931011580469,0.4454799382701304,0.41433651971408864,happy
0.3088051610685997,0.3365547867815046,0.3226799739250521,0.0520208857969434,0.36364305376564254,0.43812175156616084,0.45992211752789963,0.4490219345470302,neutral
0.2409181197211739,0.2694358109171824,0.25517696531917816,0.08893124933081925,0.3879422856436215,0.36768620073837804,0.363379792295276,0.365532996516827,disgust
0.29500127503797646,0.2696141276322164,0.2823077013350964,0.02995089279133934,0.3997491333542117,0.4568480237384189,0.39661441249968504,0.42673121811905196,neutral
0.3043317489540127,0.28139235383898087,0.2928620513964968,0.08753077225016184,0.4173627649891566,0.36319201317602223,0.4121837933488679,0.38768790326244507,disgust
0.2167048503153987,0.26840571058762003,0.24255528045150937,0.0982272095766645,0.33583963414614393,0.39641297441048723,0.42645756860398043,0.4114352715072338,sad
0.39350567069975695,0.39306139693108744,0.3932835338154222,0.2580371901848237,0.5022278517647668,0.5514652856192571,0.6021326006365025,0.5767989431278798,surprised
0.2805967977960897,0.23483253182366218,0.2577146648098759,0.05043871586220519,0.3334851744827355,0.39180322200050377,0.400414440462569,0.3961088312315364,sad
0.31456827668577736,0.273865966720951,0.29421712170336417,0.0762511713716128,0.41720972157779146,0.3955878924643679,0.432695442076957,0.41414166727066243,neutral
0.3050122154758954,0.28597803641965835,0.2954951259477769,0.03271569128676019,0.3766637686934924,0.4514413116397248,0.4143925770353011,0.43291694433751293,neutral
0.2406011012224911,0.24869200745621597,0.24464655433935353,0.032986529315800546,0.4157422800332625,0.3865888936443504,0.39112925896128947,0.3888590763028199,disgust
0.28115703185774304,0.25524776532203075,0.2682023985898869,0.12876357490849732,0.3982733508294453,0.36243085032198225,0.3399445418328658,0.35118769607742406,disgust
0.3024468159481797,0.3314803477154418,0.3169635818318107,0.13069490861280592,0.5832310258760528,0.42536757070171405,0.4152266562326876,0.42029711346720083,happy
0.2755880872278718,0.2724360510244164,0.2740120691261441,0.04733348238581444,0.3765624771443125,0.3539382258921826,0.3432768889545623,0.34860755742337246,disgust
0.37502856497276177,0.30302732833897816,0.33902794665587,0.2066535320520688,0.42888830325398475,0.544300663500755,0.5571705287069536,0.5507355961038543,fear
0.26954630129923635,0.30707902057478464,0.28831266093701047,0.10310091526157183,0.5773416671414929,0.41100566476296657,0.4441599049274327,0.4275827848451996,happy
0.2716742381512239,0.2656816943413797,0.2686779662463018,0.06058221118774207,0.6377557114455719,0.4428481646948108,0.43068290287274663,0.4367655337837787,happy
0.30386055690953107,0.29361155935507943,0.29873605813230525,0.07701332446794393,0.36250503027829517,0.41393929467332974,0.378407899275744,0.39617359697453686,angry
0.24793955475165153,0.2815313948710517,0.2647354748113516,0.06527899722621047,0.42033462810251726,0.3749961832374962,0.36005090609655954,0.36752354466702786,angry
0.30565924549364787,0.33748033256812654,0.3215697890308872,0.027033510946681154,0.38983735137592124,0.4166147970338711,0.47698415774641273,0.4467994773901419,neutral
0.3376709433899846,0.3580282879983954,0.34784961569419004,0.21903630123043574,0.45586802319346487,0.6040962758215896,0.511524850603997,0.5578105632127933,fear
